reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
1252639c-8002-486f-a2fc-3b36a6ba858c,Aman deep,https://play-lh.googleusercontent.com/a/ACg8ocLJJ3Uea-qoeQep6uTUWHqgkStjIsDpDNE1wSNsHqzAUwbZQA=mo,💔💔,5,0,,2025-02-01 23:44:54,,,
53178579-9999-44fc-bc61-fa580e217cd1,Taskeen Zahra,https://play-lh.googleusercontent.com/a/ACg8ocJ8FyIf5NMGmpZ3Kk-C3m3zwtzHHF1-igZSsWBIMbCaIs0N=mo,"🌚👽 It's an amazing aap it makes me laugh , cry , and many things . I love this app 🫶🏻",5,0,363.0.0.29.80,2025-02-01 20:33:42,,,363.0.0.29.80
09691f0c-d4ed-4113-b8da-666af3e94be4,UFB YUNUS YT,https://play-lh.googleusercontent.com/a-/ALV-UjXSPSq_zRRSOQUwGqLmSL6ipkuZxMF5KX515h27vW7fhkvlftiC,😄,5,1,365.0.0.40.94,2025-02-01 18:51:47,,,365.0.0.40.94
6f3cc394-bf71-4d35-8c2c-6ae85d105ef4,Tauheed Jutt,https://play-lh.googleusercontent.com/a-/ALV-UjVyjXOxAJfJJsARvyHYzsFaP2Dnw-6yeSZHV2W5kC3UqdJo8rU,Good,5,1,365.0.0.40.94,2025-02-01 02:44:12,,,365.0.0.40.94
b7006a62-538b-40f0-8f36-e910a05ed3f9,Kanha Lock,https://play-lh.googleusercontent.com/a-/ALV-UjVlmzQtF7GM3epv-CjPN_eAN6YrjRc6tfzGbiXhUPBX3zs1kcA5,No vews for my account videos,5,1,360.0.0.52.192,2025-02-01 01:34:02,,,360.0.0.52.192
004f5d69-2803-4ebb-974a-8a88a9033f6d,Saloni Chauhan,https://play-lh.googleusercontent.com/a-/ALV-UjWQhherimbRfeBcgAsfUYtoFwx_-oTDvxDIhge9Ogtw0N7NQts2,Soni chauhan 7041,5,1,364.0.0.35.86,2025-01-31 10:33:30,,,364.0.0.35.86
f7df55f1-c342-4a6d-922e-5e1bd5b552a2,Naika Ajay,https://play-lh.googleusercontent.com/a/ACg8ocKZyzBAcqlNyuujqlXFpylTcoT37irXtfyalCLQ1ALBmdaKyA=mo,The instagram is very very useful app 🤗,5,3,,2025-01-31 06:51:02,,,
32273eb8-8225-456b-9044-2e812b356b63,Chemish Zm,https://play-lh.googleusercontent.com/a/ACg8ocLN_X2CoinflCQnje-r9eJkW5pMCWW037hHq_Xnbeq-wyj7XA=mo,Alright,5,2,,2025-01-30 22:21:57,,,
6d4923f0-bdc9-419e-bcb1-b559d34d4d39,Aurangzeb azmi Aurangzeb azmi,https://play-lh.googleusercontent.com/a/ACg8ocIlx_tH6mFzSqUcM2BwQsykJYkurdwXkz5Re4-v5FytBwmd7Q=mo,Op bro,5,1,278.0.0.22.117,2025-01-30 20:42:36,,,278.0.0.22.117
f729c550-85ef-468e-aebc-f1bf66d5a788,Irfan Irfan,https://play-lh.googleusercontent.com/a/ACg8ocLgsvzwq_jqWdywB3x3YmWqFA0xVtdGRfEQKjBb1AYP5g00OA=mo,Very good app,5,3,362.0.0.33.241,2025-01-29 18:28:40,,,362.0.0.33.241
96eb7a50-511f-466a-911a-5f3deeb57fe6,Kanha Lawaniya,https://play-lh.googleusercontent.com/a/ACg8ocKA85MPI6nFbfDvYjMaNcGWH1wywmeo_RNXclAi21cpXxCkNg=mo,Follow me,5,2,,2025-01-29 17:15:08,,,
